id,nombre,abreviatura,nombre_sa,nombre_dif
1,Aguascalientes,Ags.,Aguascalientes,Aguascalientes
2,Baja California,BC,Baja California,Baja California
3,Baja California Sur,BCS,Baja California Sur,Baja California Sur
4,Campeche,Camp.,Campeche,Campeche
5,Coahuila,Coah.,Coahuila,Coahuila de Zaragoza
6,Colima,Col.,Colima,Colima
7,Chiapas,Chis.,Chiapas,Chiapas
8,Chihuahua,Chih.,Chihuahua,Chihuahua
9,Ciudad de México,CDMX,Ciudad de Mexico,Distrito Federal
10,Durango,Dgo.,Durango,Durango
11,Guanajuato,Gto.,Guanajuato,Guanajuato
12,Guerrero,Gro.,Guerrero,Guerrero
13,Hidalgo,Hgo.,Hidalgo,Hidalgo
14,Jalisco,Jal.,Jalisco,Jalisco
15,México,Mex.,Mexico,Estado de México
16,Michoacán,Mich.,Michoacan,Michoacán de Ocampo
17,Morelos,Mor.,Morelos,Morelos
18,Nayarit,Nay.,Nayarit,Nayarit
19,Nuevo León,NL,Nuevo Leon,Nuevo León
20,Oaxaca,Oax.,Oaxaca,Oaxaca
21,Puebla,Pue.,Puebla,Puebla
22,Querétaro,Qro.,Queretaro,Querétaro
23,Quintana Roo,Q. Roo,Quintana Roo,Quintana Roo
24,San Luis Potosí,SLP,San Luis Potosi,San Luis Potosí
25,Sinaloa,Sin.,Sinaloa,Sinaloa
26,Sonora,Son.,Sonora,Sonora
27,Tabasco,Tab.,Tabasco,Tabasco
28,Tamaulipas,Tamps.,Tamaulipas,Tamaulipas
29,Tlaxcala,Tlax.,Tlaxcala,Tlaxcala
30,Veracruz,Ver.,Veracruz,Veracruz de Ignacio de la Llave
31,Yucatán,Yuc.,Yucatan,Yucatán
32,Zacatecas,Zac.,Zacatecas,Zacatecas
